sentence,sentiment,predicted_sentiment
Woman charged over N. Ireland arms find .,0,1
BELFAST 1996-12-06,1,1
"A woman was charged on Friday with terrorist offences after three Irish Republican Army mortar bombs were found in a Belfast house , police said .",0,1
Police said the bombs were found hidden with incendiaries and ammunition that were blocked up behind a kitchen wall .,0,1
"The 35-year-old woman was charged with possession of explosives with intent to endanger life and making a house available for the purpose of terrorism , police said .",0,1
She will appear in court on Saturday .,1,0
Her name was not released .,0,1
Security forces said the bombs may have been intended for use in a pre-Christmas bombing campaign by the guerrilla group that is battling to oust Britain from Northern Ireland .,0,0
Britain sets conditions to clear American alliance .,1,1
Edna Fernandes,1,1
LONDON 1996-12-06,1,1
The British government warned Friday that it would refer the proposed trans-Atlantic alliance between British Airways Plc and American Airlines to Britain Monopolies and Mergers Commission unless the carriers complied with a number of conditions .,0,0
"Trade and Industry Secretary Ian Lang added that even if the conditions were met by both airlines , final clearance would hinge on an open skies deal between Britain and the United States to liberalise trans-Atlantic air traffic , which would create greater competition on the routes .",1,0
"Lang said he supported conditions proposed by Britain s""                  examine the case last month .",1,1
""" I agree ... that without suitable undertakings the alliance would be likely to lead to a significant loss of actual and potential passengers , on those routes where BA and AA currently compete and for all passengers on the trans-Atlantic market route between the UK and U.S. , "" he said .",0,0
His comments came just minutes after the latest set of open skies talks ended in London with no deal signed .,0,1
Industry sources said there was no new date for fresh talks and blamed the deadlock on uncertainty over whether the British Airways-American deal would be cleared .,0,0
"The conditions for clearance of the alliance were that British Airways and American drop 168 slots at London Heathrow airport , the busiest in Europe .",0,1
"American s""                  view the terms as a "" deal breaker . """,1,1
"However , it called the conditions "" more severe "" than those imposed by other regulatory authorities on similar airline alliances .",0,1
"British Airways s""          unconditional divestiture of slots is unprecedented and if done it must be on the basis of fair market value . """,0,1
"It added that it would be "" prepared to take reasonable steps to assist the introduction of additional competition . """,1,1
"The government also wants British Airways to drop a clause in its agreement with USAir that bars it from competing on trans-Atlantic routes , and said both British Airways and American should be prepared to reduce services on the London to Dallas-Fort Worth route in the event that a new entrant wishes to enter .",0,1
It also suggested losing some slots on the London-to-Boston route .,0,1
The Office of Fair Trade called for British Airways / American to allow third-party access to their joint frequent flyer programme where the applicant does not have access to an equivalent programme .,0,1
"Lang said responses should be made to the Office of Fair Trading by Jan. 10 , 1997 .",0,0
Med oil products mostly lower as Elf strike ends .,0,1
LONDON 1996-12-06,1,1
Mediterranean oil products were steady to mostly lower on Friday after Elf refinery workers voted to end their nine-day strike .,0,0
"Gas oil erased Thursday s""          a tonne in line with the screen .",0,1
"Volume was very thin and market remained long , with premiums down $ 1 at about high cif quotes +$0.50 basis Genoa . """,0,0
"The sharp moves on the screen make everyone nervous , "" a trader said .",1,1
"Trades were discussed in 0.2 , 0.5 and one percent heating oil into Syria and Lebanon and there were fresh inquiries from France and Spain for low sulphur diesel .",0,0
Interest remains focussed on a tender by India for a second purchase of high speed diesel for January delivery .,0,1
"Fuel oil lost ground sharply with weaker crude , but also suffered from some pricing pressure .",0,0
High sulphur cracked fuel lost about $ 3 to $ 109-111 fob Med with several cargoes threatening to overhang the market .,0,0
"The chance of material heading north , talked earlier this week , may be in jeopardy now since American fuel oil is expected to head transatlantic following outages at two coking units in the U.S .",0,1
"Up to 165,000 tonnes of fuel will have to find a new home and with the arbitrage from the U.S. to Europe open Rotterdam is a prime candidate .",0,0
Low sulphur prices were lower with cif Med pegged in the mid to low $ 140s .,0,1
"Gasoline prices fell after striking Elf refinery workers voted to go back to work , traders said .",0,1
"But an open arbitrage to the U.S. and tight Italian supplies after Elf scooped up Med material over the last week , continued to underpin prices into next week .",0,1
New meningitis scare hits Britain .,1,1
LONDON 1996-12-06,1,0
"A boy has died from meningitis and a girl from the same school has contracted the disease in the second such scare to hit Britain in as many weeks , health authorities said on Friday .",0,0
The 16-year-old who attended Sale Grammar School in the northern England city of Manchester died less than a day after becoming ill .,0,0
The 15-year-old girl is also suffering from the disease and hospital officials described her condition as serious .,0,1
""" At the moment there is no evidence the two cases are linked .",0,1
"However , we are assuming they are as a precaution for the time being , "" a spokeswoman said .",0,1
"The more than 1,260 students at the school are being given antibiotics as a precaution .",0,1
Wales grappled with its own cluster of meningitis cases on a university campus in Cardiff .,0,0
At least two people have died and hundreds have been vaccinated in an effort to contain the virus .,0,1
"In Scotland , eight people have died and hundreds more are fighting a widespread food-poisoning outbreak .",0,1
"A health authority spokeswoman said 78 people suspected of having the disease , including 64 confirmed cases , were still being treated .",0,1
Three were listed in poor condition .,0,0
"More than 290 people have reported symptoms in Lanarkshire county , the worst-hit area , since the outbreak first came to light after people ate tainted meat pies at a pensioners ""   ",0,0
"Major s""         ",1,0
LONDON 1996-12-06,1,1
"British Prime Minister John Major s""      Friday that rebel Conservative MP Sir John Gorst had not "" resigned the whip "" ( quit the parliamentary party ) and the government still had a majority in the 651-seat parliament .",1,0
""" He ( Gorst ) isreserving the right not to cooperate , but he has not resigned the whip .",1,0
"The government still has a majority , "" a spokesman from Major s""           ",1,0
"Gorst s""                himself obliged to vote with the government .",1,1
"He said at one point during a press conference : "" I have seen my whip ( party manager ) for next week which , of course , does t""      to me now . """,0,1
"Before Gorst s""            majority in the 651-seat House of Commons lower house of parliament .",0,1
"In his formal statement , Gorst said : "" I am today withdrawing my cooperation from the government and shall not treat the "" whip ""        to attend the House of Commons or as placing me under any obligation to vote as advised . """,0,0
Gorst resigned over a hospital closure in his constituency .,0,1
Electronic Data bags flight data contract .,0,1
LONDON 1996-12-06,1,1
Information technology firm Electronic Data Systems said on Friday it had bagged a contract for the first air traffic control project being funded under the Private Finance Initiative .,0,1
"In a statement , EDS said the contract would be in the region of 50 million stg .",0,1
"The contract involved upgrading the flight data processing system at the Oceanic Control Centre in Prestwick in south west Scotland for National Air Traffic Services Ltd ( NATS ) , subsidiary of the Civil Aviation Authority .",0,0
The system is responsible for the control of aircraft flying transatlantic routes from Europe and North America .,1,0
"The system , which would use satellite technology , is scheduled to enter service in 2000 .",1,1
-- London Newsroom +44-171-542 7717,0,0
RTRS - Cricket - Play restarts in Australia-West Indies match .,0,1
MELBOURNE 1996-12-06,1,0
Play restarted in the first World Series limited overs match between West Indies and Australia after a rain delay of 50 minutes on Friday .,0,0
West Indies resumed their innings on 53 for two with opener Sherwin Campbell on 25 and Shivnarine Chanderpaul 10 .,1,0
Rain earlier delayed the start of play by 30 minutes .,0,0
-- Sydney Newsroom 61-2 9373-1800,0,0
Cricket - Pakistan beat New Zealand by 46 runs .,1,1
"SIALKOT , Pakistan 1996-12-06",1,1
Pakistan beat New Zealand by 46 runs on Friday to take an unbeatable 2-0 lead in the three-match one-day series .,1,1
"Scores : Pakistan 277-9 , New Zealand 231",1,1
Manitoba Pork forward contract PM prices - Dec 6 .,0,1
WINNIPEG 1996-12-06,1,1
Manitoba Pork closing forward contract prices in Canadian dollars per hundred lbs ( Cwt ) for Dec 6 including minimum guaranteed price --,0,0
CONTRACT PREVIOUS CLOSE PM CLOSE PM CLOSING RANGE,0,1
DATE PM CLOSE FIXED MINIMUM AT 1230 CST,0,1
Feb 97 79.94 79.67 75.55 77.01-81.80,1,1
Mar 97 76.37 76.12 72.02 73.47-78.24,0,0
Apr 97 74.13 74.69 70.59 72.04-76.81,0,0
May 97 76.51 77.07 72.97 74.42-79.19,0,0
Jun 97 77.53 77.24 73.17 74.62-79.35,0,0
Jul 97 74.45 74.01 69.95 71.39-76.12,0,1
Aug 97 72.41 72.07 68.01 69.45-74.18,0,1
Sep 97 69.18 69.24 65.17 66.61-71.34,0,0
Oct 97 68.00 68.05 63.98 65.43-70.16,0,0
Nov 97 68.00 68.05 63.98 65.43-70.16,0,1
Note : Manitoba Government Price Index ( C$ per cwt ) -,0,1
Dec 4 87.16,1,1
"Manitoba s""             ",1,1
CAN / U.S. DOLLAR EXCHANGE RATE : 1.3570,0,1
Source : Manitoba Pork .,0,0
( ( Winnipeg bureau 204-947-3548 ) ),0,0
Canadian West Coast Vessel Loadings - CWB .,0,1
WINNIPEG 1996-12-06,1,1
"The Canadian Wheat Board reported six ships loading , 10 waiting and four due at the Canadian West Coast , as of Friday .",0,0
The longest wait to load on the West Coast was 13 days .,0,1
"Two ship loaded in Thunder Bay , one waited and seven were due .",0,1
"Two ships loaded on the East Coast , three waited to load , six were due .",0,1
Port Loading Waiting,0,1
Vancouver 5 7,1,1
Prince Rupert 1 3,1,0
( ( Gilbert Le Gras 204 947 3548 ) ),1,1
New York timecharter fixtures - Dec 6 .,0,0
NEW YORK 1996-12-06,1,0
No new fixtures reported from New York .,0,0
-- New York Commodities Desk +1 212 859 1640,0,0
New York coal / ore / scrap fixtures - Dec 6 .,0,0
NEW YORK 1996-12-06,1,0
"ORE - Maritime Queen 70,000 tonnes Dampier / Kaohsiung 20-30/12 $ 5.25 fio 35,000 / 30,000 China Steel .",0,0
-- New York Commodities Desk +1 212 859 1640,0,1
Clean tankers fixtures and enquiries - 2321 GMT .,1,1
NEW YORK 1996-12-06,1,1
FIXTURES -,1,1
WESTERN HEMISPHERE -,1,1
Danila 28.5 16/12 Caribs / up W224 Mobil .,0,1
"-- New York Commodities Desk , 212-859-1640",0,1
Dirty tanker fixtures and enquiries - 2317 GMT .,0,0
NEW YORK 1996-12-06,1,1
MIDEAST / RED SEA -,0,1
Thai Resource 264 31/12 Ras Tanura / Red Sea W46.50 Mobil .,0,1
MEDITERRANEAN -,1,1
Lula I 85 25/12 Sidi Kreir / Augusta W100 Exxon .,0,1
Spetses 139 17/12 Sidi Kreir / Augusta W97.50 Exxon .,0,1
Mesipia 77.5 17/12 Bajaia / Fos W105 Exxon .,0,1
-- New York Commodities Desk +1 212 859 1640,0,1
NYC Jan refunding has its 1st Euro floating rate .,0,1
NEW YORK 1996-12-06,1,0
New York City on Friday said that it planned a $ 775 million refunding for January that will include its first floating rate issue of taxable debt for European investors .,0,1
"A city official , who declined to be named , explained that Goldman , Sachs , which this summer was demoted to the second tier of the syndicate , proposed the floating rate issue and as a result was promoted to book runner for this offering .",0,1
"By selling the floating rate debt , the city hopes to establish a benchmark , the city official said , adding that it needed a large deal to accomplish this objective .",0,0
"The city in late June sold its first issue of Euronotes , a strategy that it says saved it $ 500,000 in interest costs , and it has been trying to build on this strategy of expanding the pool of potential investors since then .",0,1
"In November , New York City said it became the first U.S. municipality to offer bonds for sale in European markets by competitive bidding as it listed taxable bonds on the London Stock Exchange .",1,1
The refunding planned for January also includes a $ 475 million tax-exempt offering .,0,1
"No specific date in January has been selected for the debt sale , the official added .",0,1
"-- Joan Gralla , 212-859-1654",1,1
USDA gross cutout hide and offal value .,0,1
DES MOINES 1996-12-06,1,1
"The hide and offal value from a typical slaughter steer for Friday was estimated at $ 9.54 per cwt live , dn 0.05 when compared to Thursday s""   ",0,1
- USDA,1,1
Wall St speculates about Santa Fe savior .,0,1
Brendan Intindola,1,1
NEW YORK 1996-12-06,1,0
"Homestake Mining Co tops Wall Street s""      most likely white knight buyer for Santa Fe Pacific Gold Corp if Santa Fe rejects unsolicited suitor Newmont Mining Corp .",0,0
"Santa Fe is so far mum on the more than $ 2 billion stock swap takeover proposal from Newmont , announced Thursday .",0,0
"Wall Street , since the bid , has speculated that any deal between Newmont and Santa Fe would be a "" bear hug , "" or a reluctantly negotiated agreement where the buyer is not necessarily a friendly suitor .",0,1
"Newmont said the companies have had previous contact , though declined to detail the encounters .",0,1
"Analysts predict Santa Fe will go to the highest bidder , and that if a rival buyer is found , Newmont may not be able to match its offer .",0,1
"They said the Santa Fe deal , which includes desirable Nevada mining territory , would only payoff for Newmont longer term .",0,0
"Newmont , in fact , will not benefit from the Santa Fe acquisition on an earnings basis for at least two years , which also limits its capacity to raise its offer .",0,0
"Any deal , friendly or hostile , would almost assuredly be a stock swap , which is necessary to preserve the tax-free , pooling-of-interest accounting , they said .",0,0
"Analysts and arbitrageurs immediately ruled out Barrick Gold Corp and Bre-X Minerals Ltd as Santa Fe saviors because they are locked in negotiations over their splitting Indonesia s""         ",0,0
"Placer Dome Inc too was considered unlikley because it is focusing on geographic expansion in areas that do match Santa Fe s""            Asia presence , they said .",0,1
A Homestake spokesman was not immediately available to comment on speculation that it tops the list .,0,0
"Homestake , based in San Francisco , operates gold mines in the United States , Australia , Chile and Canada .",1,1
"Earnings in 1995 were $ 0.22 per share , or $ 30.3 million , on revenues of $ 746.3 million .",0,0
"Santa Fe is headquartered Albuquerque , N.M. and reported 1995 earnings of $ 0.30 per share , or $ 40 million , on revenues of $ 350 million .",1,1
"Santa Fe has mining and exploration operations in Nevada , California , Montana , Canada , Brazil , Australia , Chile , Kazakstan , Mexico and Ghana .",1,1
"PaineWebber analyst Marc Cohen said he lowered his rating on Newmont to neutral from attractive today because if Newmont merged with Santa Fe , investors would have to wait until the second half of 1998 to realize earnings accretion .",0,1
""" I think Homestake could come in as a white knight , but how much is someone willing to come in above the Newmont number .",0,1
"One would have to outbid by at least 15 percent , but there is going to be a ( Santa Fe ) deal with someone , "" he said .",0,0
""" Longer term , two to three years out , ( a Newmont-Santa Fe deal ) is positive , it does all the right things .",1,1
"But in the near-term it is , at worst , neutral , "" the analyst added .",0,1
Newmont proposed to Santa Fe a stock-swap merger at a ratio of 0.33 Newmont shares for each Santa Fe shares .,0,1
"In Friday New York Stock Exchange trade , Newmonth was off 1/2 to 46-5/8 while Santa Fe added 1/4 to 15-1/8 .",0,1
""" Newmont said it wants to discuss a friendly deal with Santa Fe , which is almost always a euphemism for ""                 "" "" said an arb , referring to a possible sweetened bid from Newmont .",0,0
"Two other arbs called Newmont s""          cent bid "" because there is no formal tender offer , only the proposal letter "" mailed "" to Santa Fe s""   ",0,0
"-- Wall Street Desk , 212-859-1734 .",0,0
Russ Berrie president to retire in July .,0,1
"OAKLAND , N.J. 1996-12-06",1,0
"Russ Berrie and Co Inc said on Friday that A. Curts Cooke will retire as president and chief operating officer effective July 1 , 1997 .",0,1
"Cooke will provide consulting services to the company through July 1 , 1998 , and will continue to serve as a director , the toy and gift maker said .",1,0
Zimbabwe executes convicted murderer .,0,1
HARARE 1996-12-06,1,1
"Zimbabwe hanged a convicted murderer on Friday , bringing to eight the number of executions carried out in the past year .",1,1
A statement said Piniel Sindiso Ncube was hanged at dawn .,0,1
"President Robert Mugabe s""      pressure from local and international human rights groups to abolish the death sentence .",0,0
Multinational commander going back to east Zaire .,1,1
Jonathan Wright,1,1
NAIROBI 1996-12-06,1,0
"The Canadian general in charge of a multinational force for eastern Zaire said on Friday he was going back to Zaire for more information about the plight of about 165,000 Rwandan refugees adrift in the countryside .",0,0
"Lieutenant-General Maurice Baril told a news conference in Nairobi his main concern was for a large group of about 150,000 refugees living off the land in a valley about 65 km ( 40 miles ) west of the eastern city of Goma .",0,1
"If he decided it was necessary and safe for the aircrew , he would not hesitate to order airdrops of food for the refugees , even against the wishes of the government in Kinshasa and the Zairean rebels who control much of eastern Zaire , he said .",1,1
""" Tomorrow I m""            is to go across into eastern Zaire and try to find out for the second time what the situation is on the ground , "" he said .",0,0
General Baril saw rebel leader Laurent Kabila in Goma last week but the rebels told him the crisis was over because most of the Rwandan refugees have already gone home .,0,1
"The rebels do not want the multinational force to deploy on the ground , for fear it might help the Zairean army regain control of the area .",0,1
"Kinshasa opposes airdrops , apparently because the food could fall into the hands of the rebels and their local supporters .",0,0
Canadian Defence Minister Doug Young said on Thursday that the multinational force would probably not have to make food airdrops or intervene militarily in any major way .,1,0
""" It does t""              are going to be required in any significant way because the NGOs ( non-governmental organisations ) are in that area on the border between Zaire and Rwanda , "" Young told reporters .",0,1
But General Baril said it would be premature to rule out any course of action until he had more information .,0,0
""" We hope that if the front moves forward or stabilises then we will have access ( to the large group of refugees ) with reconnaissance or humanitarian agencies .",0,1
""" If they ca t""              then we will probably consider very seriously using air delivery means ( airdrops ) ...It s""      s""                    it will have to be absolutely necessary .",0,1
"If it is necessary , I wo t""        , "" he said .",0,0
"Asked if he would disregard the objections of the Zairean government , he said : "" It would have to be in the last resort .",0,1
It would have to mean that tens of thousands of lives are in danger .,0,1
Do you think that I would have a conscience problem doing it or not at that time ?,0,1
"And my mandate is also under Chapter Seven to operate in eastern Zaire . """,1,1
"Under Chapter Seven of the U.N. charter , the Security Council has wide powers to preserve peace and security .",1,1
""" I know their ( the Zairean government s""  position and I know it s""          very sensitive to their position also , "" the general added .",1,0
"He denied that his contacts , criticised by Kinshasa , with the Zairean rebels amounted to negotiations .",1,1
""" I do t""             ",0,1
"I coordinate with those who are holding ground and that s""           ",1,1
"When we do t""                t""             ",0,1
"Baril said that apart from the group of 150,000 , U.S. and British reconnaissance plans had tracked two much smaller groups of refugees -- one of up to 1,000 north of the town of Masisi and one of up to 8,000 on the road from Bukavu west to Kindu .",0,1
"The Kisangani office of the medical charity Medecins sans Frontieres said on Friday that more than 100,000 refugees were trekking northwest from the Goma-Bukavu area and many of them were now in the town of Walikale .",0,1
"The general did not mention these refugees , who are on the outer limit of the strip the planes have been checking .",0,1
Mauritius put on cyclone alert .,1,1
PORT LOUIS 1996-12-06,1,1
Mauritian authorities put the Indian Ocean island on cyclone alert on Friday .,1,0
The weather services office said the centre of the intense tropical cyclone Daniella was 570 km ( 310 miles ) north by northwest of the island on Friday afternoon and was moving south by southwest at eight km an hour ( four knots ) .,0,0
"Although not threatening Mauritius directly , it is coming closer to the island and could change direction , it added .",1,1
"Winds up to 75 km an hour ( 40 knots ) could blow over Mauritius during the night of Friday to Saturday , it said .",0,0
The weather in the capital Port Louis was heavily cloudy on Friday afternoon with occasional showers .,1,0
The northeastern coast of the nearby island of Madagascar has also gone on alert .,1,0
U.N. evacuates staff from Central African Republic .,0,1
ABIDJAN 1996-12-06,1,0
"The United Nations evacuated its staff in the Central African Republic on Friday because of mounting violence in a two-week-old army mutiny in the capital , a U.N. official said .",0,1
"The official from the U.N. refugee agency UNHCR said a chartered plane had picked up the staff from Bangui and was heading for Abidjan , Ivory Coast .",0,0
Senegal proposes foreign minister for U.N. post .,0,1
DAKAR 1996-12-06,1,1
"Senegal s""              was proposing his foreign minister Moustapha Niasse for the post of United Nations secretary-general .",1,1
Diouf announced his intention to reporters when he returned from the Franco-African summit in Burkina Faso where an African successor to Secretary-General Boutros Boutros-Ghali was discussed .,1,0
The United States has vetoed a second term for the Egyptian but left the door open for another African candidate .,0,0
""" If Africa does not wish to lose its turn we have to act fast , "" Diouf said . """,1,1
"Some of my brother heads of state asked me if I would t""       ",0,0
"I see in him the profile of a secretray-general of the United Nations and I have given my endorsement . """,1,1
"Ex-minister , son killed in Central Africa unrest .",0,1
Raphael Kopessoua,1,0
BANGUI 1996-12-06,1,1
"A former cabinet minister in Central African Republic and his son were abducted from their home and murdered in growing ethnic violence in the capital Bangui , a government minister said on Friday .",0,1
"With violence spiralling out of control , France voiced backing for the elected Bangui government but said its troops based in the former colony under defence pacts would not help it combat army mutineers .",0,0
""" France cannot be involved in the domestic political debate , "" President Jacques Chirac told a news conference at the end of a Franco-African summit in Burkina Faso .",0,1
""" French troops may only take part in maintaining order to avoid major abuses and protect foreign communities , "" he said .",0,1
"Public Service Minister David Dofara , who is the head of the national Red Cross , told Reuters he had seen the bodies of former interior minister Christophe Grelombe and his son , who was not named .",0,0
Witnesses said they had been seized by troops loyal to President Ange-Felix Patasse at dawn on Thursday when they clashed with soldiers staging a mutiny since November 16 .,0,0
Grelombe is from the Yakoma tribe to which most of the rebel soldiers belong .,0,0
"The uprising began over pay demands but has turned into a campaign to topple Patasse , sparking ethnic violence and dividing the capital .",0,0
"The former minister and his son had been taken from their home close to the presidential palace , which is guarded by loyalist soldiers backed by French troops based in Bangui .",0,0
"The bodies were found on Thursday in an open field about two km ( one mile ) further away , said Dofora and other witnesses .",0,0
The men were seized as loyalist forces and French troops fought gunbattles with mutineers who fired rockets into the city centre .,0,0
A French-owned hotel was slightly damaged .,0,0
"Yakomas are hounded in stronghold districts of Patasse s""                  rebel hands .",0,0
"Roadblocks have been erected in city districts while central Bangui , which is patrolled by French troops with tanks , is deserted .",0,1
Shops and businesses have remained shut this week .,0,0
The Franco-African summit decided to send a mission Bangui to seek ways of containing the mutiny and a threat of civil war .,0,0
"Chirac said Burkina Faso President Blaise Compaore would visit Bangui "" in the coming hours "" with the heads of state of Gabon , Mali and Chad to try and establish dialogue between authorities and rebels .",1,0
The mutiny forced Patasse to miss the summit .,0,1
His spokesman had predicted the meeting to send an assessment mission .,0,0
"Patasse , who won Central Africa s""    elections , refuses to resign .",1,1
Church-led meadiation attempts hit deadlock over rebel demands for his departure .,0,1
"Soldiers staged mutinies in April and May , with French troops stepping in with tanks and helicopters to quell the more serious second uprising .",0,1
Patasse offered concessions and amnesty to rebels before the May rebellion ended after rebels looted the city centre .,0,1
Rebels accuse Patasse of tribalism and of arming his civilian supporters and hired guns from Sudan and Chad .,0,1
Mutineers have vowed to disarm all civilians and to chase out the foreign forces knwon as Codos .,0,0
"Hospital sources and witnesses said about 10 people were known to have been killed in the more than two weeks of fighting , including two rebels killed in Thursday s""   ",0,0
An undetermined number of people are reported to have been abducted and killed outside the town by tribal vigilante groups .,0,0
"In Thursday s""              mutineers trying to break out of their strongholds rained mortar shells on the city centre .",0,1
Five die as SAfrican crop plane hits pickup .,0,1
JOHANNESBURG 1996-12-06,1,1
"Five people were killed when a crop-spraying plane preparing for takeoff crashed into a light delivery vehicle in South Africa s""          radio reported on Friday .",0,1
The freak accident occurred in Mafikeng on Thursday .,0,1
"The pilot survived the crash , but the driver and passengers of the van were killed .",0,1
WEATHER - Conditions at CIS airports - Dec 6 .,0,1
MOSCOW 1996-12-06,1,1
"No weather-related closures of CIS airports are expected on December 7 and 8 , the Russian Weather Service said on Friday .",0,1
-- Moscow Newsroom +7095 941 8520,1,0
Skinheads attack Bratislava Rabbi - police .,0,0
BRATISLAVA 1996-12-06,1,1
"Four skinheads attacked and insulted the rabbi of Bratislava , Baruch Meyers , in the city centre on Friday , but he escaped unharmed , a police spokesman told Reuters .",0,1
""" A group of four skinheads attacked the rabbi , one kicked him in the hand but caused no injury , "" the spokesman said .",0,1
""" All four attackers were apprehended and two have been detained , "" the spokesman added",0,0
He was unable to give more details .,0,1
""" The further procedure is now in the hands of the local police investigator , "" the spokesman said .",0,1
"It was the second attack by skinheads in two years on Meyers , an American .",0,0
Meyers was not available for comment .,0,0
Albanian jailed for threat of bomb suicide .,0,1
TIRANA 1996-12-06,1,1
"An Albanian court on Friday sentenced a man who threatened to blow himself up outside President Sali Berisha s""                action and illegal possession of arms .",0,0
"Buza last April said he would blow himself up outside the presidential palace unless he was allowed to speak to Berisha , who was at the time meeting Italian President Oscar Luigi Scalfaro .",0,0
Buza was overpowered by riot police less than one hour after he began his action .,0,1
""" Evaluating all the conditions of the case the court thinks the sentence should be lower than the minimum ( 15 years ) , "" Tirana judge Qazim Gjonaj added .",0,1
"The defendant denied the charges , saying his action was intended to urge the authorities to give him a $ 20,000 loan .",0,0
"Medical experts had concluded Buza was mentally unstable but fully responsible for the act he had committed , Gjonaj said .",1,0
Polish ex-communist president to visit Pope .,1,1
WARSAW 1996-12-06,1,1
"Poland s""          likely to visit Polish-born Pope John Paul in early 1997 despite uneasy relations between the Vatican and Warsaw , the foreign minister said on Friday .",1,1
""" President Kwasniewski plans to visit Italy on a invitation from President Oscar Scalfaro .",1,0
"A meeting with the Pope is also planned , "" Dariusz Rosati told a news conference .",0,1
"Rosati said that the atmosphere of the meeting , if it takes place , would largely depend on the progress in talks on ratification of a treaty between Warsaw and the Vatican .",0,1
@,1,0
"The ratification of the treaty , which was signed in 1993 by the then right-centrist government , is being delayed by an ex-communist party , which won parliamentary elections in the same year and now dominates parliament .",0,1
"The party , the Democratic Left Alliance , says the agreement would give the Catholic Church too much influence over life in Poland and could infringe on rights of other religious groups and non-believers .",0,1
"The relations with the Vatican have also been soured by a recent relaxation of Poland s""    , which Kwasniewski signed into law last month .",0,0
"Russia warns Norilsk , not expected to liquidate it .",0,0
Lynnley Browning,1,1
MOSCOW 1996-12-06,1,1
"Russian Finance Minister Alexander Livshits warned financially-troubled Norilsk Nickel on Friday that it must pay overdue taxes , but analysts said the firm would not be liquidated or that its would assets would be frozen .",1,1
""" Norilsk really is a big debtor , both to the federal and regional budgets , "" said Konstantin Chernyshev , equities analyst at Moscow brokerage Rinaco Plus and a Norilsk watcher . """,1,0
"Livshits s""                the company . """,1,0
The official Itar-Tass news agency quoted Livshits as telling parliamentary deputies that RAO Norilsky Nikel 0#NKEL.RUO had to pay its tax arrears and that bankruptcy procedures applied to the metals group .,0,0
""" If it was an unsolicited statement and a bolt out of the blue , then it obviously means something , "" said Christopher Granville , chief economist at United City Bank in Moscow .",0,0
""" But if it was a response to a deputy question that was essentially loaded , then it was the only answer he could have given . """,0,1
"Russian tax and cabinet authorities , under pressure from the International Monetary Fund to boost tax revenues as a condition for receiving payments of a $ 10 billion , three-year loan to Moscow , have been striking fear into the hearts of some of Russia most prominent industrial firms by saying they must pay up or face liquidation .",1,0
""" They could freeze metal , but it s""    long-term solution to the problem and would t""  money in the budget , "" Chernyshev said . """,0,0
"I do t""             ",0,1
"Entire social infrastructures in the icy Far North where Norilsk is based depend on the company , and Moscow has said it has no finances to resettle hundreds of thousands of people -- an expenditure which could far outstrip Norilsk s""   ",0,1
Norilsk officials declined to comment .,0,0
"Analysts said the government , while anxious about Norilsk s""                nickel , copper , cobalt , platinum and platinum group metals producer to its knees or take measures that could significantly affect output .",0,1
"But it also wants Norilsk , the world second-largest nickel producer , to clean up its act .",0,1
""" The procedure of bankruptcy will be applied , "" Tass quoted Livshits as telling Duma deputies about Norilsk .",0,0
"It indirectly quoted him as saying Norilsk should first pay salary arrears , which in the past have led to worker strikes .",0,0
""" It is unlikely that Norilsk will pay these debts in the near-term -- the company will remain a debtor in the near future , "" Chernyshev said .",0,1
"He estimated the company s""        one trillion roubles and said 30 percent of the giant Krasnoyarsk regional budget was fuelled by Norilsk money .",0,1
"Norilsk s""            bank Uneximbank , has said it is reorganising metal exports through Interrosimpex in order to boost revenues .",0,0
"But the changes have yet to improve significantly Norilsk s""   ",0,1
""" Uneximbank has inherited a mountain and whether or not they climb out and over it remains to be seen , "" said one metals source .",0,1
"Norilsk said in September that it total debts , including unpaid salaries to workers , were 13 trillion roubles .",0,1
"The company said last month that it had worked out a tax payment schedule with authorities , after regional tax officials threatened to seize some nickel and copper assets .",0,0
"-- Moscow Newsroom , +7095 941 8520",1,1
Estonian Tallinna Pank 11-mo net 46.6 mln kroons .,0,1
TALLINN 1996-12-06,1,0
"Tallinna Pank , one of the largest banks in Estonia , made a 11-month 1996 net profit of 46.6 million kroons , the bank said on Friday .",0,1
It said in a statement that it made profits of 4.5 million kroons in November .,0,1
The bank made a profit of 20.1 million kroons in the first half of the year .,0,1
Tallinna Pank said its assets rose 17.8 million kroons to 1.84 billion kroons .,1,1
Demand deposits rose to 855.8 million kroons from 834.6 million kroons and time deposits increased to 295.1 million kroons from 285.3 million kroons .,0,1
"-- Riga Newsroom , +371 721 5240",0,0
Russia ready for constructive work with Albright .,1,1
MOSCOW 1996-12-06,1,1
"Russia said on Friday it expected a constructive relationship with Madeleine Albright , nominated by U.S. President Bill Clinton to be Secretary of State .",1,1
"Interfax news agency quoted First Deputy Foreign Minister Igor Ivanov as saying Moscow was ready for "" most active and constructive "" work with Albright .",1,1
But he noted that policy would be shaped by Clinton and President Boris Yeltsin .,0,1
Clinton and Yeltsin are due to meet next March for their first summit since both were re-elected .,1,1
""" Our countries ""            March , 1997 .",1,1
"The Russian foreign ministry believes the new directions in the development of Russian-U.S. relations will be worked out there , "" Ivanov told Interfax .",1,1
"Interfax , outlining Albright s""      out that she had defended Washington s""  fiercely as U.S. ambassador to the United Nations and that this had included actively supporting NATO plans to expand eastwards .",1,1
